Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2024-02-10,AF,Afghanistan,EMR,0,231756,0,7982
2024-02-12,AF,Afghanistan,EMR,240,231996,1,7983
2024-02-18,AF,Afghanistan,EMR,0,231996,0,7983
2024-03-01,AF,Afghanistan,EMR,0,232499,0,7988
2024-03-06,AF,Afghanistan,EMR,0,232662,0,7991
2024-03-10,AF,Afghanistan,EMR,0,232662,0,7991
2024-03-12,AF,Afghanistan,EMR,0,232921,0,7991
2024-03-18,AF,Afghanistan,EMR,197,233118,2,7993
2024-03-26,AF,Afghanistan,EMR,0,233340,0,7996
2024-03-28,AF,Afghanistan,EMR,0,233340,0,7996
2024-04-14,AF,Afghanistan,EMR,0,234078,0,7996
2024-05-06,AF,Afghanistan,EMR,0,235214,0,7998
2024-05-24,AF,Afghanistan,EMR,0,235214,0,7998
2024-06-04,AF,Afghanistan,EMR,0,235214,0,7998
2024-06-22,AF,Afghanistan,EMR,0,235214,0,7998
2024-08-16,AF,Afghanistan,EMR,0,235214,0,7998
2024-08-26,AF,Afghanistan,EMR,0,235214,0,7998
2024-09-13,AF,Afghanistan,EMR,0,235214,0,7998
2024-10-08,AF,Afghanistan,EMR,0,235214,0,7998
2024-10-11,AF,Afghanistan,EMR,0,235214,0,7998
2024-11-24,AF,Afghanistan,EMR,0,235214,0,7998
2024-12-06,AF,Afghanistan,EMR,0,235214,0,7998
2024-12-11,AF,Afghanistan,EMR,0,235214,0,7998
2024-12-18,AF,Afghanistan,EMR,0,235214,0,7998
2024-12-28,AF,Afghanistan,EMR,0,235214,0,7998
2025-01-22,AF,Afghanistan,EMR,0,235214,0,7998
2025-01-24,AF,Afghanistan,EMR,0,235214,0,7998
2025-02-24,AF,Afghanistan,EMR,0,235214,0,7998
2025-03-03,AF,Afghanistan,EMR,0,235214,0,7998
2025-03-08,AF,Afghanistan,EMR,0,235214,0,7998
2025-03-15,AF,Afghanistan,EMR,0,235214,0,7998
2025-03-30,AF,Afghanistan,EMR,0,235214,0,7998
2025-04-12,AF,Afghanistan,EMR,0,235214,0,7998
2025-05-16,AF,Afghanistan,EMR,0,235214,0,7998
2025-07-10,AF,Afghanistan,EMR,0,235214,0,7998
2020-03-21,AL,Albania,EUR,5,64,0,2
2020-04-13,AL,Albania,EUR,17,433,0,23
2020-06-11,AL,Albania,EUR,36,1299,0,34
2020-07-28,AL,Albania,EUR,126,4763,4,138
2020-07-29,AL,Albania,EUR,117,4880,6,144
2020-08-25,AL,Albania,EUR,152,8427,5,250
2020-09-03,AL,Albania,EUR,93,9606,6,290
2020-09-24,AL,Albania,EUR,131,12666,3,367
2020-10-17,AL,Albania,EUR,257,16212,5,439
2020-10-21,AL,Albania,EUR,295,17350,3,454
2021-01-17,AL,Albania,EUR,641,66635,4,1265
2021-03-23,AL,Albania,EUR,659,121200,4,2137
2021-04-20,AL,Albania,EUR,138,129594,2,2342
2021-04-21,AL,Albania,EUR,100,129694,5,2347
2021-04-26,AL,Albania,EUR,139,130409,5,2372
2021-05-02,AL,Albania,EUR,108,131085,5,2394
2021-06-09,AL,Albania,EUR,5,132384,1,2452
2021-08-19,AL,Albania,EUR,451,136598,2,2468
2021-10-16,AL,Albania,EUR,495,176667,9,2797
2021-11-19,AL,Albania,EUR,616,194472,10,3014
2021-12-12,AL,Albania,EUR,352,203215,2,3130
2022-01-19,AL,Albania,EUR,1017,233654,2,3271
2022-02-22,AL,Albania,EUR,206,270370,7,3445
2022-03-31,AL,Albania,EUR,70,273529,0,3492
2022-07-05,AL,Albania,EUR,671,282141,0,3501
2022-07-07,AL,Albania,EUR,147,282837,2,3504
2022-08-02,AL,Albania,EUR,1019,311381,2,3543
2022-12-19,AL,Albania,EUR,15,332553,0,3594
2022-12-24,AL,Albania,EUR,23,332652,1,3596
2023-01-07,AL,Albania,EUR,37,332878,0,3596
2023-02-02,AL,Albania,EUR,10,333243,0,3596
2023-03-08,AL,Albania,EUR,11,333592,0,3599
2023-03-26,AL,Albania,EUR,22,333799,0,3601
2023-05-19,AL,Albania,EUR,0,334090,0,3604
2023-06-27,AL,Albania,EUR,0,334090,0,3604
2023-07-22,AL,Albania,EUR,0,334090,0,3604
2023-08-16,AL,Albania,EUR,0,334090,0,3604
2023-09-01,AL,Albania,EUR,0,334090,0,3604
2023-09-05,AL,Albania,EUR,0,334090,0,3604
2023-10-04,AL,Albania,EUR,0,334090,0,3604
2023-10-18,AL,Albania,EUR,0,334090,0,3604
2023-10-29,AL,Albania,EUR,0,334090,0,3604
2023-11-01,AL,Albania,EUR,0,334196,0,3604
2023-12-14,AL,Albania,EUR,0,334555,0,3604
2024-02-05,AL,Albania,EUR,27,334923,0,3605
2024-03-14,AL,Albania,EUR,0,335023,0,3605
2024-03-26,AL,Albania,EUR,0,335028,0,3605
2024-05-07,AL,Albania,EUR,0,335050,0,3605
2024-06-22,AL,Albania,EUR,0,335160,0,3605
2024-11-24,AL,Albania,EUR,0,337196,0,3608
2024-12-01,AL,Albania,EUR,0,337196,0,3608
2024-12-31,AL,Albania,EUR,0,337196,0,3608
2025-01-22,AL,Albania,EUR,0,337196,0,3608
2025-04-22,AL,Albania,EUR,0,337196,0,3608
2025-06-17,AL,Albania,EUR,0,337197,0,3608
2025-06-21,AL,Albania,EUR,0,337197,0,3608
2020-01-22,DZ,Algeria,AFR,0,0,0,0
2020-02-07,DZ,Algeria,AFR,0,0,0,0
2020-04-21,DZ,Algeria,AFR,89,2718,9,385
2020-05-04,DZ,Algeria,AFR,179,4474,4,460
2020-08-02,DZ,Algeria,AFR,556,30950,13,1211
2020-08-18,DZ,Algeria,AFR,442,39025,9,1367
2020-08-25,DZ,Algeria,AFR,398,41858,21,1444
2020-09-29,DZ,Algeria,AFR,146,51213,5,1717
2020-11-09,DZ,Algeria,AFR,670,62051,12,2048
2020-11-19,DZ,Algeria,AFR,1038,70629,20,2206
2021-03-03,DZ,Algeria,AFR,175,113430,4,2991
2021-03-21,DZ,Algeria,AFR,96,116066,2,3055
2021-03-25,DZ,Algeria,AFR,89,116438,3,3069
2021-05-08,DZ,Algeria,AFR,219,123692,8,3315
2021-08-07,DZ,Algeria,AFR,1203,179216,46,4487
2021-08-20,DZ,Algeria,AFR,694,190078,31,4929
2022-01-12,DZ,Algeria,AFR,557,223196,14,6363
2022-01-13,DZ,Algeria,AFR,610,223806,9,6372
2022-03-20,DZ,Algeria,AFR,15,265539,0,6871
2022-03-26,DZ,Algeria,AFR,13,265612,0,6873
2022-04-11,DZ,Algeria,AFR,4,265724,0,6874
2022-06-09,DZ,Algeria,AFR,5,265909,0,6875
2022-08-12,DZ,Algeria,AFR,134,268718,0,6878
2022-10-02,DZ,Algeria,AFR,3,270682,0,6879
2022-10-12,DZ,Algeria,AFR,3,270722,0,6881
2022-10-17,DZ,Algeria,AFR,10,270746,0,6881
2022-11-18,DZ,Algeria,AFR,0,270952,0,6881
2022-12-14,DZ,Algeria,AFR,0,271147,0,6881
2023-02-11,DZ,Algeria,AFR,3,271409,0,6881
2023-02-18,DZ,Algeria,AFR,0,271424,0,6881
2023-02-27,DZ,Algeria,AFR,1,271440,0,6881
2023-03-10,DZ,Algeria,AFR,2,271496,0,6881
2023-04-06,DZ,Algeria,AFR,5,271599,0,6881
2023-04-17,DZ,Algeria,AFR,2,271644,0,6881
2023-05-19,DZ,Algeria,AFR,3,271820,0,6881
2023-06-18,DZ,Algeria,AFR,0,271847,0,6881
2023-07-04,DZ,Algeria,AFR,0,271852,0,6881
2023-08-29,DZ,Algeria,AFR,2,271873,0,6881
2023-09-27,DZ,Algeria,AFR,0,271910,0,6881
2023-10-08,DZ,Algeria,AFR,0,271919,0,6881
2023-10-17,DZ,Algeria,AFR,0,271934,0,6881
2023-10-18,DZ,Algeria,AFR,0,271934,0,6881
2023-10-30,DZ,Algeria,AFR,20,271960,0,6881
2023-11-20,DZ,Algeria,AFR,13,271991,0,6881
2023-11-22,DZ,Algeria,AFR,0,271991,0,6881
2024-01-30,DZ,Algeria,AFR,0,272010,0,6881
2024-02-08,DZ,Algeria,AFR,0,272010,0,6881
2024-02-14,DZ,Algeria,AFR,0,272010,0,6881
2024-03-21,DZ,Algeria,AFR,0,272014,0,6881
2024-04-02,DZ,Algeria,AFR,0,272018,0,6881
2024-05-19,DZ,Algeria,AFR,0,272026,0,6881
2024-06-30,DZ,Algeria,AFR,0,272036,0,6881
2024-09-13,DZ,Algeria,AFR,0,272156,0,6881
2024-09-26,DZ,Algeria,AFR,0,272169,0,6881
2024-10-05,DZ,Algeria,AFR,0,272169,0,6881
2024-10-12,DZ,Algeria,AFR,0,272170,0,6881
2024-10-22,DZ,Algeria,AFR,0,272171,0,6881
2024-11-05,DZ,Algeria,AFR,0,272171,0,6881
2024-11-21,DZ,Algeria,AFR,0,272173,0,6881
2024-12-01,DZ,Algeria,AFR,0,272179,0,6881
2024-12-26,DZ,Algeria,AFR,0,272206,0,6881
2025-01-07,DZ,Algeria,AFR,0,272209,0,6881
2025-03-27,DZ,Algeria,AFR,0,272238,0,6881
2025-04-08,DZ,Algeria,AFR,0,272250,0,6881
2025-06-20,DZ,Algeria,AFR,0,272319,0,6881
2025-07-03,DZ,Algeria,AFR,0,272334,0,6881
2020-01-29,AS,American Samoa,WPR,0,0,0,0
2020-02-04,AS,American Samoa,WPR,0,0,0,0
2020-03-03,AS,American Samoa,WPR,0,0,0,0
2020-03-27,AS,American Samoa,WPR,0,0,0,0
2020-04-06,AS,American Samoa,WPR,0,0,0,0
2020-04-26,AS,American Samoa,WPR,0,0,0,0
2020-05-23,AS,American Samoa,WPR,0,0,0,0
2020-06-18,AS,American Samoa,WPR,0,0,0,0
2020-07-04,AS,American Samoa,WPR,0,0,0,0
2020-07-17,AS,American Samoa,WPR,0,0,0,0
2020-08-17,AS,American Samoa,WPR,0,0,0,0
2020-08-20,AS,American Samoa,WPR,0,0,0,0
2020-08-27,AS,American Samoa,WPR,0,0,0,0
2020-09-09,AS,American Samoa,WPR,0,0,0,0
2020-09-12,AS,American Samoa,WPR,0,0,0,0
2020-09-20,AS,American Samoa,WPR,0,0,0,0
2020-09-30,AS,American Samoa,WPR,0,0,0,0
2020-10-04,AS,American Samoa,WPR,0,0,0,0
2020-10-29,AS,American Samoa,WPR,0,0,0,0
2020-12-15,AS,American Samoa,WPR,0,0,0,0
2021-02-15,AS,American Samoa,WPR,0,0,0,0
2021-03-02,AS,American Samoa,WPR,0,0,0,0
2021-04-11,AS,American Samoa,WPR,0,0,0,0
2021-05-03,AS,American Samoa,WPR,0,0,0,0
2021-05-22,AS,American Samoa,WPR,0,0,0,0
2021-05-28,AS,American Samoa,WPR,0,0,0,0
2021-06-07,AS,American Samoa,WPR,0,0,0,0
2021-06-25,AS,American Samoa,WPR,0,0,0,0
2021-06-27,AS,American Samoa,WPR,0,0,0,0
2021-07-25,AS,American Samoa,WPR,0,0,0,0
2021-08-14,AS,American Samoa,WPR,0,0,0,0
2021-09-21,AS,American Samoa,WPR,0,1,0,0
2021-10-22,AS,American Samoa,WPR,0,4,0,0
2021-11-09,AS,American Samoa,WPR,0,4,0,0
2021-11-25,AS,American Samoa,WPR,0,5,0,0
2021-12-05,AS,American Samoa,WPR,0,10,0,0
2022-01-03,AS,American Samoa,WPR,0,11,0,0
2022-01-18,AS,American Samoa,WPR,0,18,0,0
2022-01-20,AS,American Samoa,WPR,0,18,0,0
2022-01-23,AS,American Samoa,WPR,0,18,0,0
2022-03-10,AS,American Samoa,WPR,39,443,0,0
2022-03-15,AS,American Samoa,WPR,163,779,0,0
2022-03-18,AS,American Samoa,WPR,0,1063,0,0
2022-03-21,AS,American Samoa,WPR,174,1571,0,0
2022-03-22,AS,American Samoa,WPR,55,1626,0,0
2022-04-14,AS,American Samoa,WPR,0,5535,0,18
2022-05-03,AS,American Samoa,WPR,4,5873,1,27
2022-05-20,AS,American Samoa,WPR,0,6072,0,30
2022-06-10,AS,American Samoa,WPR,0,6269,0,31
2022-06-21,AS,American Samoa,WPR,0,6414,0,31
2022-07-08,AS,American Samoa,WPR,0,6505,0,31
2022-12-03,AS,American Samoa,WPR,0,8264,0,34
2022-12-15,AS,American Samoa,WPR,0,8266,0,34
2023-01-02,AS,American Samoa,WPR,0,8285,0,34
2023-01-08,AS,American Samoa,WPR,0,8302,0,34
2023-01-19,AS,American Samoa,WPR,0,8317,0,34
2023-01-21,AS,American Samoa,WPR,0,8317,0,34
2023-01-23,AS,American Samoa,WPR,3,8320,0,34
2023-01-24,AS,American Samoa,WPR,0,8320,0,34
2023-02-13,AS,American Samoa,WPR,0,8320,0,34
2023-02-16,AS,American Samoa,WPR,0,8320,0,34
2023-02-21,AS,American Samoa,WPR,0,8320,0,34
2023-03-03,AS,American Samoa,WPR,0,8320,0,34
2023-03-17,AS,American Samoa,WPR,0,8321,0,34
2023-03-21,AS,American Samoa,WPR,0,8324,0,34
2023-05-18,AS,American Samoa,WPR,0,8331,0,34
2023-07-07,AS,American Samoa,WPR,0,8341,0,34
2023-07-09,AS,American Samoa,WPR,0,8341,0,34
2023-07-15,AS,American Samoa,WPR,0,8341,0,34
2023-08-03,AS,American Samoa,WPR,0,8341,0,34
2023-08-20,AS,American Samoa,WPR,0,8341,0,34
2023-09-17,AS,American Samoa,WPR,0,8359,0,34
2023-10-13,AS,American Samoa,WPR,0,8359,0,34
2023-10-23,AS,American Samoa,WPR,0,8359,0,34
2023-12-03,AS,American Samoa,WPR,0,8359,0,34
2023-12-08,AS,American Samoa,WPR,0,8359,0,34
2023-12-22,AS,American Samoa,WPR,0,8359,0,34
2024-01-12,AS,American Samoa,WPR,0,8359,0,34
2024-01-29,AS,American Samoa,WPR,0,8359,0,34
2024-02-22,AS,American Samoa,WPR,0,8359,0,34
2024-03-17,AS,American Samoa,WPR,0,8359,0,34
2024-03-22,AS,American Samoa,WPR,0,8359,0,34
2024-03-27,AS,American Samoa,WPR,0,8359,0,34
2024-06-05,AS,American Samoa,WPR,0,8359,0,34
